"pathway","pval","padj","log2err","ES","NES","size","genes"
"WANG_NEOPLASTIC_TRANSFORMATION_BY_CCND1_MYC",4.70091289382182e-05,0.126360538585931,0.557332238758646,-0.937189419418657,-2.07286309402728,12,"Serpinb9b"
"MCMURRAY_TP53_HRAS_COOPERATION_RESPONSE_UP",0.000339641826283584,0.304319076350091,0.49849310876659,-0.856540014697027,-2.07988858264352,18,"Ccl9,Sema7a"
"STARK_HYPPOCAMPUS_22Q11_DELETION_DN",0.000258063078321227,0.304319076350091,0.49849310876659,-0.862549460920015,-2.09448098740306,18,"Mrpl40"
"REACTOME_NONSENSE_MEDIATED_DECAY_NMD_INDEPENDENT_OF_THE_EXON_JUNCTION_COMPLEX_EJC",0.000714388036579031,0.480068760581109,0.477270815362862,-0.843798359818846,-2.54453446781081,94,"Rpl30,Rpl27a,Rps2,Rps27rt,Rpsa,Rps4x,Rpl36a,Rps5,Rpl13a,Rps28,Rpl7a,Rpl39,Rpl17,Rps15a,Pabpc1,Rpl6,Rps27,Rpl3,Rpl10,Rpl11,Rps26,Rps3,Rpl19,Rpl22l1,Uba52rt,Rpl7,Rps24,Rps13,Rps27a,Rplp0,Rpl10-ps3,Rpl37,Rpl36,Rps15,Rpl36al,Rps16,Rpl37a,Rpl9,Rplp2,Uba52,Rps19,Rplp1,Rpl18,Rpl23a,Rpl14,Rpl12,Rpl23,Rpl26,Rps12,Fau,Rpl34,Rpl22,Rps3a1,Rpl18a,Rps7,Rps21,Eif4g1,Rps8,Rpl38,Rpl13,Rps9,Rpl27,Rpl4,Rpl35a,Rps23,Rpl21"
"BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2",0.00415621145273938,0.518373943105869,0.407017918923954,-0.64862157367474,-1.91234657515895,69,"Btf3,Rps28,Rpl3,Rps26,Igbp1,Ola1,Rpl10a,Rpl36,Eif3e,Rpl36al,Kdelr1,Nudt21,Ppm1g,Rtraf,Tubb5,Nsa2,Acbd6,Eif2s3x,Rps21,Ahcy,Rpl35a,Ssr4,Hnrnpa1,Eif3k,Mrpl30"
"BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES",0.00142367195256885,0.518373943105869,0.45505986738723,-0.823918983060317,-2.42231565204413,68,"Rpl30,Rpl27a,Eif3f,Rps4x,Rpl36a,Rps5,Rpl13a,Rpl7a,Eef1g,Eif3h,Rpl6,Rpl10,Rack1,Eif4b,Rps3,Rpl7,Rps24,Rps13,Rps27a,Rps16,Tpt1,Eef2,Uba52,Rps19,Rpl18,Rpl14,Rpl23,Rpl26,Fau,Rps3a1,Rpl18a,Rps7,Eef1a1,Eef1b2,Ptms,Use1,Rps8,Cox7a2l,Rpl13,Rps9,Eif3m,Rbbp6,Rpl4,Rps23,Rpl21"
"BILANGES_SERUM_RESPONSE_TRANSLATION",0.00547587425553079,0.518373943105869,0.407017918923954,-0.872110783156957,-2.33313450072446,30,"Eif3f,Rps4x,Rps5,Eef1g,Eif3h,Rpl6,Rpl10,Rack1,Cyp17a1,Rps3,Rps19,Rpl14,Nsa2,Rpl18a,Rps7,Eef1a1,Eef1b2,Ptms,Arid5b,Rps8,Khsrp,Rpl4,Rpl21"
"BILANGES_SERUM_SENSITIVE_GENES",0.00493532935961518,0.518373943105869,0.407017918923954,-0.621823890743525,-1.8281575911363,68,"Ddx6,Lars2,Rcc2,Mdn1,Cyp17a1,Igbp1,Ola1,Rpl10a,Eif3e,Tle3,Gbp5,Spen,Tubb5,Nsa2,Acbd6,Arid5b,Hipk2,Khsrp,Mtdh,Ahcy"
"CHEN_ETV5_TARGETS_SERTOLI",0.00433943191121281,0.518373943105869,0.407017918923954,-0.790214289065187,-1.91883350394295,18,"Ccl9,Xist,Cd53,Arsb,Kidins220,Fcgr2b,Ms4a6d"
"HAN_JNK_SINGALING_DN",0.00197847434540972,0.518373943105869,0.431707695803346,-0.785179029474607,-2.0650933044356,29,"Ccl9,Ifitm1,Socs3,Abca1,Cp,Pltp,Pfkp,Fas"
